Employee Number,Age,MaritalStatus,Gender,Education,EducationField,RelationshipSatisfaction,DistanceFromHome,Games,Performance Ranking,Attendance (%),Errors per shift,TrainingTimesLastYear,Hours Worked TTM,Hours Worked  3 YR,Hours Worked 5 YR,OverTime,TTM Revenue,3 YR Revenue,5 YR Revenue,NumCompaniesWorked,TotalWorkingYears,Annual Salary,PercentSalaryHike,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,EnvironmentSatisfaction,JobSatisfaction,Attrition
933,65,Married,Male,1,Technical Degree,4,20,Black Jack,1,37,10,8,1021,1927,3228,No,61378,61378,61378,2,18,37429,8,1,8,2,9,1,2,No
934,53,Married,Male,2,Technical Degree,3,37,Black Jack,1,48,2,3,2858,1540,3222,No,72864,152454,364320,3,10,34964,7,6,12,0,4,2,4,No
935,47,Married,Male,1,Technical Degree,4,15,Black Jack,1,32,1,4,2371,2715,5965,No,40785,40785,40785,2,4,41768,10,1,4,2,1,1,3,No
936,28,Married,Male,2,Technical Degree,3,23,Black Jack,1,52,10,10,2109,2173,3144,No,60227,138717,301135,0,24,67782,9,26,15,9,8,1,2,No
937,44,Married,Male,1,Technical Degree,1,6,Black Jack,4,35,4,5,1960,1166,3124,No,65953,162309,197859,0,6,73547,8,3,1,5,0,3,4,No
938,48,Married,Male,2,Technical Degree,4,16,Black Jack,2,77,10,4,2524,2113,5369,No,57106,162369,285530,0,15,63421,8,17,6,5,7,3,1,No
939,24,Married,Male,1,Technical Degree,2,2,Black Jack,1,90,1,5,2487,1835,5179,No,70765,162941,353825,2,26,50614,9,15,9,3,9,4,2,No
940,34,Married,Male,1,Technical Degree,3,11,Black Jack,3,64,5,10,1695,2026,3975,No,47457,141086,237285,4,1,74887,7,14,14,8,6,2,4,No
941,45,Married,Male,1,Technical Degree,1,27,Black Jack,1,43,4,4,2052,1814,5551,No,46529,157418,232645,4,26,50596,4,7,15,9,6,1,2,No
942,29,Married,Male,1,Technical Degree,2,43,Black Jack,1,81,8,9,2399,2461,4130,No,63754,151593,318770,4,5,46417,10,25,3,9,9,1,1,No
943,58,Married,Male,4,Technical Degree,2,3,Black Jack,1,83,8,0,2047,2676,4372,No,73752,140377,368760,2,23,63351,3,16,8,5,6,3,1,No
944,36,Married,Male,4,Technical Degree,1,31,Black Jack,3,64,4,7,1018,2357,6113,No,72271,143411,361355,7,6,59565,7,18,9,1,2,3,1,No
945,25,Married,Male,2,Technical Degree,1,1,Black Jack,1,67,10,8,1486,2226,4033,No,40650,142574,203250,7,13,40778,8,22,15,1,10,2,4,No
946,44,Married,Male,2,Technical Degree,2,9,Black Jack,4,57,4,4,1030,2625,4352,No,40988,139646,204940,3,0,46805,3,15,11,9,0,4,1,No
947,65,Married,Male,2,Technical Degree,5,32,Black Jack,3,79,4,2,2485,2076,3375,No,40462,153898,202310,6,14,81511,4,11,9,9,6,1,1,No
948,59,Married,Male,1,Technical Degree,1,14,Black Jack,3,99,8,3,1714,2631,5268,No,46890,164809,140670,3,21,56423,4,3,3,7,10,2,4,No
949,27,Married,Male,1,Technical Degree,2,49,Black Jack,1,35,8,6,1968,1669,5876,No,53081,162575,265405,4,20,60833,2,20,2,9,6,4,4,No
950,23,Married,Male,2,Technical Degree,1,33,Black Jack,2,59,1,7,2972,2897,4623,No,43984,156443,219920,6,24,67881,5,10,10,5,3,4,4,No
951,47,Married,Male,1,Technical Degree,3,10,Black Jack,3,85,6,2,1436,2528,3965,No,51036,141307,255180,2,18,41033,9,24,8,4,2,2,1,No
952,59,Married,Male,3,Technical Degree,5,36,Black Jack,4,98,8,8,2533,1718,3807,No,68602,149630,343010,7,1,33599,8,24,11,0,7,2,2,No
953,41,Married,Male,4,Technical Degree,1,49,Black Jack,2,98,7,8,1906,1716,4886,No,44137,88274,88274,3,19,83832,6,2,11,1,4,1,4,No
954,50,Married,Male,4,Technical Degree,4,11,Black Jack,4,80,3,7,2092,1473,4620,No,75890,159858,379450,6,6,71621,6,14,12,2,1,2,1,No
955,52,Married,Male,4,Technical Degree,4,26,Black Jack,2,67,8,6,2084,1900,5909,No,66978,164260,334890,2,3,57811,6,26,5,5,9,3,4,No
956,58,Married,Male,4,Technical Degree,4,48,Black Jack,2,31,9,8,1516,1908,3695,No,47865,168422,239325,2,7,26250,3,16,9,1,7,3,3,No
957,40,Married,Male,1,Technical Degree,2,27,Black Jack,4,38,8,7,1156,1276,5991,No,45000,164040,225000,3,17,65518,1,24,4,8,7,3,4,No
958,32,Married,Male,3,Technical Degree,1,26,Black Jack,1,48,1,5,1436,1654,3495,No,75112,145397,375560,3,19,58981,9,21,0,2,6,3,3,No
959,44,Married,Male,4,Technical Degree,4,15,Black Jack,3,60,4,0,1791,1186,5901,No,71912,145122,359560,5,19,79454,10,25,14,10,5,2,1,No
960,35,Married,Male,4,Technical Degree,3,38,Black Jack,2,74,7,5,1188,1309,5714,No,53420,163887,267100,1,7,60896,1,9,8,5,1,3,3,No
961,38,Married,Male,2,Technical Degree,5,40,Black Jack,1,68,3,7,1560,2631,3475,No,75134,167953,375670,2,2,60541,7,25,11,3,8,2,1,No
962,46,Married,Male,1,Technical Degree,5,47,Black Jack,1,61,7,0,1455,2539,3729,No,74629,147201,373145,7,14,54881,4,10,11,9,8,2,1,No
963,54,Married,Male,4,Technical Degree,2,20,Black Jack,2,90,2,3,1159,1096,3236,No,78761,145294,393805,2,15,75929,2,14,10,9,6,3,2,No
964,28,Married,Male,2,Technical Degree,2,34,Black Jack,4,38,7,3,2536,2838,4777,No,78009,148266,390045,3,21,33423,4,14,0,10,2,4,1,No
965,58,Married,Male,3,Technical Degree,1,43,Black Jack,4,51,1,9,2126,2008,5452,No,71466,152935,357330,6,10,29002,6,13,2,2,10,2,3,No
966,24,Married,Male,3,Technical Degree,4,18,Roulette,3,85,3,5,1087,2343,3700,No,53775,163819,268875,0,3,60494,2,20,12,0,1,1,2,No
967,36,Married,Male,4,Technical Degree,2,19,Roulette,4,66,10,3,2314,2977,4277,No,58688,144587,293440,6,24,66005,3,14,14,3,3,2,1,No
968,27,Married,Male,3,Technical Degree,3,37,Roulette,2,99,10,0,1120,1441,4686,No,67194,67194,67194,3,12,39329,3,1,11,9,9,1,2,No
969,32,Married,Male,3,Technical Degree,4,31,Roulette,3,85,2,7,1848,1710,6059,No,57493,144616,287465,6,14,74732,10,17,2,4,4,4,4,No
970,60,Married,Male,3,Technical Degree,5,30,Roulette,4,74,3,4,1542,2656,5995,No,77452,142087,387260,3,26,68781,7,8,14,6,2,3,1,No
971,29,Married,Male,4,Technical Degree,5,9,Roulette,3,26,6,6,1879,1387,3918,No,67283,134566,134566,5,13,41155,5,2,2,9,7,1,4,No
972,36,Married,Male,2,Technical Degree,2,46,Roulette,2,78,7,0,1682,2720,5561,No,57989,162414,289945,3,3,82197,9,10,0,8,4,2,2,No
973,58,Married,Male,4,Technical Degree,2,24,Roulette,1,37,7,5,1043,2304,5215,No,68454,144450,342270,5,20,65369,7,16,11,10,2,3,4,No
974,23,Married,Male,2,Technical Degree,1,12,Roulette,3,25,10,1,1496,2013,4935,No,45701,164304,228505,5,3,38513,3,19,7,9,1,1,4,No
975,33,Married,Male,4,Technical Degree,4,30,Roulette,4,93,2,10,1650,2051,3425,No,54757,170360,273785,0,9,48919,3,10,10,3,4,4,3,No
976,63,Married,Male,1,Technical Degree,5,35,Roulette,4,40,7,5,2045,1903,5799,No,51533,164469,257665,6,21,40372,1,15,13,0,7,4,4,No
977,43,Married,Male,1,Technical Degree,1,22,Roulette,4,42,3,5,2906,1792,5164,No,47245,155317,236225,5,1,28398,7,14,8,9,7,1,4,No
978,49,Married,Male,3,Technical Degree,4,14,Roulette,3,32,7,5,1892,1172,4312,No,73775,149978,295100,5,7,66830,2,4,0,7,8,1,4,No
979,44,Married,Male,4,Technical Degree,5,11,Roulette,2,72,1,4,2052,1019,3239,No,59700,160956,298500,4,19,53221,5,13,2,9,6,1,4,No
980,44,Married,Male,1,Technical Degree,5,43,Roulette,3,37,5,7,1987,2560,4409,No,63813,140724,191439,5,15,37363,5,3,12,5,3,4,1,No
981,26,Married,Male,3,Technical Degree,4,25,Roulette,3,40,10,3,1823,1050,5362,No,67009,159551,335045,6,23,56095,8,16,15,1,5,4,4,No
982,44,Married,Male,2,Technical Degree,5,17,Roulette,2,45,7,3,2091,1279,3314,No,44667,141840,223335,1,22,69083,3,17,3,7,4,4,3,No
983,36,Married,Male,3,Technical Degree,1,32,Roulette,3,63,1,9,1513,1289,4308,No,62117,145488,310585,3,9,44735,2,23,1,4,10,1,3,No
984,28,Married,Male,3,Technical Degree,1,7,Roulette,1,60,2,3,1495,1134,6001,No,72519,145038,145038,1,18,51024,6,2,5,4,10,4,1,No
985,40,Married,Male,3,Technical Degree,2,43,Roulette,2,47,10,3,2045,1410,6102,No,61097,168586,305485,5,0,81284,1,23,1,9,7,2,3,No
986,44,Married,Male,4,Technical Degree,2,47,Roulette,4,36,5,4,1424,2320,6052,No,77189,154608,385945,7,13,79450,2,6,6,0,4,2,2,No
987,46,Married,Male,2,Technical Degree,5,14,Roulette,3,81,7,7,1278,2038,6050,No,75456,138562,377280,4,21,28650,6,18,13,1,5,3,2,No
988,30,Married,Male,2,Technical Degree,2,3,Roulette,3,70,5,3,2788,2993,5978,No,65165,165630,325825,0,21,59852,6,7,15,9,6,3,3,No
989,41,Married,Male,3,Technical Degree,1,26,Roulette,4,72,2,7,2231,1709,6068,No,50912,155907,254560,6,13,57451,4,23,2,0,1,2,3,No
990,47,Married,Male,2,Technical Degree,3,41,Roulette,3,90,6,0,1693,2971,4003,No,41068,151543,205340,2,21,59158,9,23,9,6,3,2,2,No
991,33,Married,Male,3,Technical Degree,4,12,Roulette,1,100,10,1,1817,2091,5431,No,51008,147160,255040,4,15,42899,10,6,4,1,5,1,3,No
992,50,Married,Male,1,Technical Degree,3,8,Roulette,2,73,1,0,1546,2156,5574,No,42015,146154,210075,3,18,53857,1,18,10,6,0,1,2,No
993,57,Married,Male,1,Technical Degree,3,32,Roulette,3,66,2,0,2720,2242,4860,No,44785,153929,223925,1,19,41217,2,9,4,5,0,1,2,No
994,42,Married,Male,1,Technical Degree,4,41,Roulette,4,97,2,5,2291,1530,4361,No,72219,161275,361095,0,3,81430,9,11,12,4,4,1,3,No
995,46,Married,Male,3,Technical Degree,1,14,Roulette,4,88,1,0,1668,1438,4933,No,49963,169154,249815,4,17,68562,3,5,1,5,5,4,1,No
996,56,Married,Male,2,Technical Degree,5,11,Roulette,4,100,9,5,2650,2510,4642,No,76524,150921,382620,3,2,74178,10,21,15,5,10,4,1,No
997,57,Married,Male,3,Technical Degree,4,42,Roulette,1,93,9,0,2910,2421,3646,No,58861,139422,176583,7,0,65141,5,3,4,5,7,2,4,No
998,23,Married,Male,3,Technical Degree,3,2,Roulette,4,34,10,9,1943,2776,6235,No,40408,153381,202040,3,5,55723,9,9,9,4,5,3,1,No
999,58,Married,Male,1,Technical Degree,1,32,Roulette,3,73,10,7,2020,1182,5112,No,47242,158977,236210,6,9,46430,5,11,13,1,7,4,2,No
1000,60,Married,Male,1,Technical Degree,5,6,Roulette,4,78,8,10,1289,2232,4207,No,77923,165500,389615,5,13,63675,1,15,6,1,7,1,2,No
1001,36,Married,Male,1,Technical Degree,2,29,Roulette,1,78,4,8,1128,2783,4169,No,43587,87174,87174,0,24,52023,1,2,9,3,3,2,1,No
1002,43,Married,Male,1,Technical Degree,2,7,Roulette,2,48,5,10,1122,1742,4194,No,76234,155016,381170,0,26,43194,4,15,10,3,8,2,4,No
1003,23,Married,Male,3,Technical Degree,1,13,Roulette,2,85,10,10,2952,1831,5570,No,52504,160209,262520,6,9,32893,5,6,10,1,3,4,1,No
1004,28,Married,Male,2,Technical Degree,5,22,Roulette,3,64,8,10,1376,1768,3421,No,61230,152684,306150,5,23,53837,9,7,4,5,0,3,1,No
1005,26,Married,Male,4,Technical Degree,3,10,Roulette,3,85,8,2,1840,1645,4532,No,49774,170400,248870,6,21,67011,9,15,2,9,3,4,2,No
1006,48,Married,Male,4,Technical Degree,1,11,Roulette,1,92,10,10,2472,2380,5487,No,58892,167057,294460,5,2,74547,10,26,2,0,3,3,1,No
1007,41,Married,Male,4,Technical Degree,5,43,Roulette,2,56,9,7,2581,2199,4042,No,74147,144238,370735,7,15,59100,7,8,9,1,5,2,1,No
1008,58,Married,Male,2,Technical Degree,3,48,Roulette,2,57,5,5,1582,2208,5547,No,74621,141761,373105,7,1,65544,9,11,8,9,0,3,1,No
1009,23,Married,Male,3,Technical Degree,4,49,Roulette,1,91,10,3,2273,1620,5315,No,69723,148813,348615,4,14,30574,7,13,6,7,5,2,2,No
1010,51,Married,Male,2,Technical Degree,4,29,Roulette,4,75,5,3,2201,2960,5728,No,72301,170260,361505,1,26,72672,5,22,0,6,5,2,4,No
1011,44,Married,Male,4,Technical Degree,1,21,Roulette,1,63,7,6,1515,1688,3162,No,42810,169513,214050,3,10,57320,8,26,13,2,3,3,4,No
1012,52,Married,Male,2,Technical Degree,2,5,Roulette,1,98,8,3,2649,1519,5701,No,73706,169287,294824,3,1,66654,3,4,14,7,10,3,3,No
1013,63,Married,Male,4,Technical Degree,4,33,Roulette,3,68,7,8,2049,2737,4711,No,42559,151389,170236,0,19,32166,7,4,12,5,2,1,2,No
1014,44,Married,Male,1,Technical Degree,1,47,Roulette,2,84,1,4,2938,1341,4136,No,53251,146660,266255,4,24,83288,2,12,11,8,4,2,2,No
1015,38,Married,Male,4,Technical Degree,2,45,Roulette,3,66,9,1,1974,1557,3595,No,72231,144462,144462,4,10,41670,3,2,8,8,2,1,1,No
1016,41,Married,Male,4,Technical Degree,2,37,Roulette,2,82,4,4,1741,1263,3261,No,62563,159377,312815,2,8,51152,10,17,6,0,3,2,4,No
1017,42,Married,Male,1,Technical Degree,2,34,Roulette,2,78,7,5,2590,1780,4136,No,43453,145703,217265,3,24,83005,3,11,0,9,6,2,1,No
1018,41,Married,Male,3,Technical Degree,4,40,Roulette,4,70,4,2,1534,2345,4802,No,41074,158150,205370,2,3,36229,9,25,6,8,4,2,2,No
1019,34,Married,Male,4,Technical Degree,1,16,Roulette,4,47,4,4,2766,2824,4637,No,75594,168855,226782,1,17,36730,6,3,12,10,1,1,4,No
1020,37,Married,Male,4,Technical Degree,5,15,Roulette,2,74,2,5,1815,2084,4474,No,52417,154787,262085,4,4,37083,4,11,1,0,2,2,2,No
1021,57,Married,Male,4,Technical Degree,5,11,Roulette,3,52,9,10,1059,2361,4812,No,69266,149537,346330,5,11,47270,4,6,8,0,3,2,2,No
1022,52,Married,Male,4,Technical Degree,5,12,Roulette,2,90,7,2,1676,2074,5953,No,73144,149992,365720,4,0,66278,9,24,15,6,3,4,3,No
1023,40,Married,Male,3,Technical Degree,4,21,Roulette,1,92,3,6,2340,1389,3527,No,72991,169093,364955,0,16,77825,9,9,14,6,4,4,4,No
1024,63,Married,Male,2,Technical Degree,3,24,Roulette,4,77,2,5,2840,2134,4412,No,56524,158485,282620,7,24,50764,6,11,1,8,6,3,2,No
1025,53,Married,Male,4,Technical Degree,5,49,Roulette,1,81,9,5,2866,1928,5217,No,40124,167417,200620,3,26,50680,10,25,6,7,8,1,3,No
1026,37,Married,Male,4,Technical Degree,2,19,Roulette,2,33,3,3,1098,2595,4111,No,61199,170654,244796,3,0,81105,2,4,8,3,5,1,4,No
1027,36,Married,Male,4,Technical Degree,4,10,Roulette,3,69,7,2,1505,1983,5408,No,73027,153216,365135,6,22,59816,1,8,0,6,5,2,4,No
1028,24,Married,Male,3,Technical Degree,3,28,Roulette,1,99,3,0,2075,1628,3405,No,64114,153838,320570,7,16,69702,4,13,14,6,2,1,1,No
1029,51,Married,Male,3,Technical Degree,2,26,Roulette,3,76,3,4,2238,2097,4104,No,43467,169082,217335,7,14,82452,10,7,11,10,7,1,3,No
1030,39,Married,Male,3,Technical Degree,1,7,Roulette,4,41,3,1,2421,2857,4895,No,77859,160394,389295,3,18,31829,2,7,15,5,8,2,1,No
1031,60,Married,Male,3,Technical Degree,3,44,Roulette,1,53,2,1,2485,2407,4098,No,46463,92926,92926,2,9,35504,4,2,14,9,8,4,2,No
1032,37,Married,Male,2,Technical Degree,2,50,Roulette,3,81,5,9,2918,2719,5256,No,48087,160460,240435,3,3,60194,3,18,11,6,5,1,3,No
1033,48,Married,Male,2,Technical Degree,3,47,Roulette,3,72,4,4,1668,1412,5217,No,67178,147690,335890,5,13,43105,3,7,15,5,6,2,4,No
1034,34,Married,Male,2,Technical Degree,5,14,Roulette,4,65,3,8,2269,1974,4076,No,70542,161685,352710,5,26,53688,2,5,2,9,9,1,4,No
1035,37,Married,Male,4,Technical Degree,4,50,Roulette,3,79,7,2,1898,1725,5146,No,76033,139058,380165,1,19,80749,6,6,2,9,8,4,4,No
1036,61,Married,Male,2,Technical Degree,5,20,Roulette,2,84,3,3,1456,1699,4527,No,40673,146784,203365,5,13,47927,10,11,0,1,0,3,2,No
1037,56,Married,Male,1,Technical Degree,5,30,Roulette,2,89,7,3,2493,1571,4555,No,50603,140420,253015,0,26,47508,6,11,5,0,1,1,1,No
1038,46,Married,Male,1,Technical Degree,3,47,Roulette,4,63,4,4,1717,2296,4374,No,67207,166156,336035,4,4,72510,4,26,5,5,1,1,1,No
1039,59,Married,Male,3,Technical Degree,2,36,Roulette,2,70,5,10,1041,2689,5802,No,56794,167181,283970,4,18,45637,4,25,7,10,0,3,4,No
1040,38,Married,Male,4,Technical Degree,4,38,Roulette,1,48,8,10,1017,2854,4188,No,45614,159258,228070,7,1,83983,4,10,14,4,2,4,3,No
1041,40,Married,Male,1,Technical Degree,2,23,Roulette,4,36,9,6,2038,2165,4516,No,48111,154937,240555,7,15,27329,7,22,0,0,8,3,3,No
1042,50,Married,Male,2,Technical Degree,1,1,Roulette,2,86,2,5,2854,2145,5503,No,46208,157098,231040,3,16,52436,8,15,10,9,6,1,3,No
1043,44,Married,Male,4,Technical Degree,4,46,Roulette,2,83,10,1,2928,1204,3701,No,61370,157704,306850,1,22,60481,8,8,14,0,4,2,2,Yes
1044,59,Married,Male,2,Technical Degree,5,38,Roulette,4,80,8,4,1464,2587,4611,No,61217,169047,306085,7,17,78674,10,12,3,0,7,3,2,Yes
1045,30,Married,Male,3,Technical Degree,5,18,Roulette,1,33,7,9,1252,1409,3631,No,42884,42884,42884,4,18,50467,4,1,0,2,1,1,2,Yes
1046,35,Married,Male,1,Technical Degree,2,11,Roulette,1,75,6,5,1773,2535,5425,No,49537,157862,247685,5,16,42726,4,6,12,5,6,4,2,Yes
1047,53,Married,Male,1,Technical Degree,4,14,Roulette,1,80,2,3,2032,2198,5218,No,63775,142835,318875,4,2,73748,8,18,2,7,1,4,3,Yes
1048,54,Married,Male,2,Technical Degree,5,12,Roulette,3,85,2,3,2771,2366,5098,No,61539,168078,184617,1,2,75283,4,3,4,7,10,4,4,Yes
1049,62,Married,Male,3,Technical Degree,4,49,Roulette,1,43,8,1,1664,2219,3323,No,49984,144782,249920,6,7,77866,1,20,15,9,0,1,2,Yes
1050,43,Married,Male,2,Technical Degree,2,38,Roulette,4,67,5,1,2521,2048,5232,No,48109,157390,240545,6,8,60334,5,9,10,4,1,4,2,Yes
1051,64,Married,Male,3,Technical Degree,4,17,Roulette,2,25,4,6,1780,2041,3649,No,48274,166773,241370,0,12,41512,8,10,8,0,3,4,1,Yes
1052,56,Married,Male,4,Technical Degree,3,42,Roulette,1,57,1,2,2860,1963,5666,No,57354,149253,286770,0,8,45813,6,10,3,0,3,4,4,Yes
1053,41,Married,Male,2,Technical Degree,4,40,Roulette,1,35,5,4,2404,1779,3993,No,57550,167805,287750,7,18,62716,6,9,6,8,3,1,2,Yes
1054,59,Married,Male,1,Technical Degree,2,50,Roulette,1,43,6,6,1346,1487,5945,No,65278,140108,326390,2,20,65307,10,7,15,1,3,2,1,Yes
1055,50,Married,Male,4,Technical Degree,3,41,Roulette,2,65,9,2,2622,2811,4193,No,70194,157797,350970,4,8,29610,5,21,2,9,3,3,3,Yes
1056,48,Married,Male,2,Technical Degree,5,30,Roulette,4,37,6,2,1502,1542,4512,No,46602,169716,233010,3,18,50333,2,7,8,9,10,3,1,Yes
1057,49,Married,Male,4,Technical Degree,1,27,Roulette,4,83,9,3,1495,1061,5099,No,41666,138544,208330,1,6,82553,8,5,3,3,2,3,4,Yes
1058,47,Married,Male,1,Technical Degree,4,18,Roulette,2,54,8,7,2550,2474,4261,No,42008,165171,210040,2,6,65735,3,7,2,6,7,3,3,Yes
1059,56,Married,Male,3,Technical Degree,3,12,Roulette,3,63,3,3,2007,1813,3128,No,42089,150142,210445,4,18,36276,8,22,3,3,3,2,4,Yes
1060,56,Married,Male,1,Technical Degree,3,25,Roulette,1,57,3,8,1532,1731,4063,No,61865,152324,309325,2,16,74054,1,25,3,9,1,3,1,Yes
1061,32,Married,Male,3,Technical Degree,4,28,Roulette,3,96,3,7,2385,1227,4000,No,54295,54295,54295,7,13,41296,4,1,11,2,0,2,2,Yes
1062,44,Married,Male,1,Technical Degree,3,43,Roulette,2,39,6,10,2530,2779,5743,No,42105,143823,210525,2,21,30115,3,9,13,2,6,1,4,Yes
1063,39,Married,Male,1,Technical Degree,2,12,Roulette,4,26,5,4,1738,1540,5663,No,50845,50845,50845,3,15,82274,2,1,8,5,7,4,4,Yes
1064,63,Married,Male,3,Technical Degree,3,42,Roulette,3,89,6,2,2222,2002,4165,No,76548,146069,382740,2,2,54973,3,16,2,8,10,1,3,Yes
1065,31,Married,Male,4,Technical Degree,3,22,Roulette,4,33,4,1,1269,2748,4500,No,77984,164805,389920,0,9,47124,7,15,9,6,3,2,3,Yes
1066,64,Married,Male,4,Technical Degree,3,49,Roulette,2,66,3,0,1651,2252,5898,No,60631,144502,303155,2,16,81117,4,13,15,10,4,3,4,Yes
1067,58,Married,Male,2,Technical Degree,4,2,Roulette,3,75,5,6,1806,2825,4556,No,67733,135466,135466,0,19,83796,8,2,9,5,2,3,3,Yes
1068,38,Married,Male,1,Technical Degree,4,13,Roulette,3,26,8,0,1217,1385,4568,No,60266,165535,241064,6,1,42744,7,4,13,0,5,4,3,Yes
1069,38,Married,Male,1,Technical Degree,2,42,Roulette,4,98,7,2,1470,1169,4817,No,40694,165403,203470,3,24,41216,4,26,14,8,6,3,2,Yes
1070,35,Married,Male,4,Technical Degree,3,10,Roulette,1,89,8,1,1447,2712,5717,No,66330,153881,331650,1,12,51389,10,10,10,10,1,1,3,Yes
1071,64,Married,Male,2,Technical Degree,3,17,Roulette,2,50,2,7,1002,2348,3303,No,51455,140261,257275,6,4,60413,1,22,4,8,8,3,4,Yes
1072,60,Married,Male,1,Technical Degree,4,26,Roulette,1,35,6,7,2004,2830,4071,No,60961,157219,304805,2,17,56625,6,5,3,9,2,1,2,Yes
1073,61,Married,Male,4,Technical Degree,4,28,Roulette,1,67,3,10,1918,1093,5310,No,64987,165315,324935,3,19,78647,8,15,3,7,3,3,2,Yes
1074,55,Married,Male,4,Technical Degree,3,3,Roulette,3,75,2,3,2771,1278,4532,No,59021,118042,118042,0,12,50265,3,2,14,2,7,2,4,Yes
1075,53,Married,Male,1,Technical Degree,5,37,Roulette,4,31,2,5,2984,1055,3379,No,52687,154252,263435,1,11,36175,4,11,7,8,5,2,1,Yes
1076,55,Married,Male,4,Technical Degree,1,16,Roulette,2,38,3,7,2678,1936,4939,No,54827,158506,274135,7,25,50566,8,26,0,0,1,1,3,Yes
1077,52,Married,Male,4,Technical Degree,1,31,Roulette,1,90,3,7,2474,1449,5597,No,72233,158552,361165,6,21,70164,4,24,12,5,9,2,2,Yes
1078,27,Married,Male,4,Technical Degree,2,42,Roulette,3,59,8,2,2997,1470,4385,No,77581,144136,387905,0,25,80160,10,24,7,0,9,3,4,Yes
1079,49,Married,Male,2,Technical Degree,4,42,Roulette,3,69,5,9,2939,1181,5517,No,59150,168999,295750,4,17,57697,6,6,3,7,7,1,4,Yes
1080,30,Married,Male,3,Technical Degree,4,37,Roulette,1,51,6,8,1276,1602,3822,No,75512,138276,377560,5,12,56812,9,16,4,6,8,3,1,Yes
1081,49,Married,Male,2,Technical Degree,2,19,Roulette,2,76,6,0,1894,2114,3385,No,66640,151822,333200,4,20,31579,5,23,5,4,2,1,4,Yes
1082,41,Married,Male,4,Technical Degree,1,14,Roulette,2,66,7,1,2116,2740,3270,No,53977,163994,161931,0,17,41576,8,3,4,3,7,3,3,Yes
1083,53,Married,Male,1,Technical Degree,4,46,Roulette,1,85,3,6,1476,1056,4363,No,48957,158392,244785,2,21,28705,4,16,8,4,3,1,2,Yes
1084,41,Married,Male,2,Technical Degree,4,23,Roulette,2,94,5,1,1054,2102,4758,No,53418,138090,267090,4,2,32444,5,5,11,6,5,1,1,Yes
1085,60,Married,Male,2,Technical Degree,4,49,Roulette,2,99,2,6,1980,2271,4149,No,53234,165131,212936,4,0,28975,10,4,1,9,2,1,1,Yes
1086,62,Married,Male,1,Technical Degree,1,17,Roulette,1,38,1,9,1020,2066,5913,No,49178,167215,245890,2,14,70175,6,9,10,0,10,4,3,Yes
1087,43,Married,Male,1,Technical Degree,4,38,Roulette,4,51,3,7,1710,2054,3921,No,58593,153780,175779,0,12,34090,2,3,10,0,5,3,2,Yes
1088,25,Married,Male,1,Technical Degree,2,39,Roulette,3,35,1,5,1427,1831,3171,No,55336,110672,110672,4,13,65807,7,2,10,8,9,3,1,Yes
1089,37,Married,Male,2,Technical Degree,2,31,Roulette,3,41,2,1,2998,1802,3557,No,73725,160239,368625,5,6,73271,2,17,3,7,7,3,2,Yes
1090,63,Married,Male,1,Technical Degree,3,26,Roulette,3,41,4,3,1985,2050,4412,No,50344,149209,201376,7,3,39661,8,4,2,9,9,4,4,Yes
1091,59,Married,Male,4,Technical Degree,5,2,Roulette,1,29,4,4,2038,2169,5914,No,42148,157790,210740,0,10,80615,8,18,0,3,5,3,3,Yes
1092,51,Married,Male,3,Technical Degree,1,40,Roulette,1,76,1,8,2203,1050,5355,No,47094,139788,235470,7,14,48037,10,25,15,4,0,1,3,Yes
1093,53,Married,Male,2,Technical Degree,2,6,Roulette,2,70,4,8,2022,1669,3529,No,74806,155628,374030,5,2,55835,3,13,6,3,5,4,2,Yes
1094,33,Married,Male,4,Technical Degree,4,6,Roulette,1,48,5,9,2442,1771,4593,No,69607,141226,348035,7,5,80409,6,17,5,3,4,1,2,Yes
1095,29,Married,Male,3,Technical Degree,3,24,Roulette,3,33,5,1,1195,1374,5534,No,40793,155067,203965,4,24,81500,4,10,4,9,9,1,4,Yes
1096,33,Married,Male,4,Technical Degree,1,35,Roulette,2,37,1,7,2826,2397,4208,No,68379,147690,341895,5,21,44257,9,10,15,8,5,2,1,Yes
1097,62,Married,Male,3,Technical Degree,2,14,Roulette,4,65,10,3,1482,1016,5375,No,43409,151613,217045,4,23,50369,9,15,0,4,3,3,1,Yes
1098,40,Married,Male,2,Technical Degree,5,15,Roulette,1,67,6,0,1712,1129,6047,No,43365,144612,216825,5,19,62800,4,8,14,10,0,2,4,Yes
1099,38,Married,Male,3,Technical Degree,2,35,Roulette,2,31,9,0,2921,1058,5925,No,54903,146091,274515,2,10,70277,1,5,3,8,4,3,1,Yes
1100,30,Married,Male,1,Technical Degree,4,43,Roulette,4,94,9,8,2773,1640,4243,No,75184,75184,75184,5,20,64190,10,1,9,8,0,4,1,Yes
1101,25,Married,Male,3,Technical Degree,1,7,Roulette,4,50,3,3,2086,1435,4520,No,44133,153242,220665,6,2,32251,7,12,12,0,3,3,1,Yes
1102,58,Married,Male,4,Technical Degree,5,38,Roulette,4,26,1,1,2875,1914,4030,No,47416,147851,237080,0,1,39274,6,8,3,9,1,3,1,Yes
