# OF EMPLOYEES,Age,MaritalStatus,Gender,Education,EducationField,RelationshipSatisfaction,DistanceFromHome,Games,Performance Ranking,Attendance (%),Errors per shift,TrainingTimesLastYear,Hours Worked TTM,Hours Worked  3 YR,Hours Worked 5 YR,OverTime,TTM Revenue,3 YR Revenue,5 YR Revenue,NumCompaniesWorked,TotalWorkingYears,Annual Salary,PercentSalaryHike,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,EnvironmentSatisfaction,JobSatisfaction,Attrition,Risk,Profit,riskNorm,profitNorm,R-Score
610,55,Married,Male,4,Technical Degree,2,2,Black Jack,4,95,1,3,2959,1937,6083,Yes,144523,305759,722615,3,14,34060,3,6,6,5,1,4,1,No,0.272859311,110463,0.273092576,0.902571352,0.246485535
611,28,Married,Male,2,Technical Degree,3,32,Black Jack,4,57,9,0,1228,1533,5607,Yes,108967,283096,544835,3,0,35950,6,25,8,1,9,3,3,No,0.584502873,73017,0.585002558,0.596607483,0.349016903
612,33,Married,Male,2,Technical Degree,2,35,Black Jack,1,70,4,2,2441,2418,4299,Yes,139361,224795,696805,5,1,39465,5,9,15,10,5,2,1,No,0.148506291,99896,0.148633247,0.816230482,0.121318987
613,32,Married,Male,4,Technical Degree,3,31,Black Jack,3,43,5,8,2441,2741,6139,Yes,148003,241408,740015,6,10,40232,10,12,2,9,3,2,2,No,0.2378064,107771,0.238009698,0.880575551,0.209585521
614,23,Married,Male,1,Technical Degree,1,15,Black Jack,1,30,5,4,2044,2970,5124,Yes,115945,258590,579725,2,25,42048,4,14,9,7,1,4,1,No,0.094285651,73897,0.094366255,0.603797789,0.056978136
615,36,Married,Male,2,Technical Degree,5,33,Black Jack,4,30,7,8,1736,1288,4688,Yes,105007,273390,525035,7,13,68737,1,19,5,4,5,2,1,No,0.569721417,36270,0.570208465,0.296355005,0.168984132
616,26,Married,Male,1,Technical Degree,4,3,Black Jack,3,82,10,2,1456,2459,3728,Yes,148655,282395,743275,4,3,64924,7,20,10,3,6,4,1,No,0.220463662,83731,0.220652134,0.68414946,0.150959038
617,55,Married,Male,4,Technical Degree,1,32,Black Jack,3,63,1,8,1703,1196,3143,Yes,126214,262859,631070,5,5,41218,3,14,1,10,8,3,1,No,0.226818122,84996,0.227012026,0.694485525,0.157656566
618,44,Married,Male,1,Technical Degree,2,24,Black Jack,2,31,4,5,1147,2444,5320,Yes,146456,275558,732280,6,18,57431,10,5,12,7,8,2,4,No,0.514735948,89025,0.515175989,0.727405689,0.374741945
619,54,Married,Male,3,Technical Degree,2,16,Black Jack,3,84,6,4,1069,1619,3741,Yes,89867,200343,449335,5,8,76664,4,13,0,0,3,1,1,No,0.588492652,13203,0.588995747,0.107879105,0.063540334
620,40,Married,Male,3,Technical Degree,2,50,Black Jack,1,77,7,1,1654,1015,4513,Yes,90507,346272,452535,6,21,50437,1,21,3,2,7,1,2,No,0.510421324,40070,0.510857677,0.327404054,0.167256875
621,32,Married,Male,2,Technical Degree,5,49,Black Jack,4,63,4,2,1939,2888,4964,Yes,86483,209328,259449,1,21,56804,6,3,15,7,6,3,3,No,0.665097587,29679,0.665666171,0.242501246,0.161424876
622,25,Married,Male,2,Technical Degree,1,38,Black Jack,1,95,2,10,2932,2163,3466,Yes,147900,296486,739500,0,20,46675,8,22,12,0,10,2,3,No,0.713832312,101225,0.714442559,0.827089478,0.590907923
623,49,Married,Male,4,Technical Degree,1,43,Black Jack,4,73,1,2,2216,2988,5602,Yes,145129,309596,725645,3,25,59927,10,20,10,10,5,2,1,No,0.1638337,85202,0.16397376,0.696168711,0.114153401
624,27,Married,Male,2,Technical Degree,5,12,Black Jack,1,44,5,8,2895,2868,4006,Yes,135591,210164,677955,3,5,64752,5,24,14,9,10,1,2,No,0.434427247,70839,0.434798634,0.578811475,0.251666439
625,23,Married,Male,1,Technical Degree,1,14,Black Jack,2,82,2,6,2347,1242,4495,Yes,131192,229433,655960,1,13,40654,1,26,7,2,3,1,2,No,0.521742795,90538,0.522188827,0.739768113,0.386298643
626,52,Married,Male,1,Technical Degree,5,22,Black Jack,4,73,3,5,1253,1533,6020,Yes,130646,230144,653230,6,16,55732,5,25,12,3,0,1,2,No,0.266678754,74914,0.266906735,0.612107495,0.163375613
627,50,Married,Male,2,Technical Degree,5,50,Black Jack,2,78,3,10,1923,1671,4900,Yes,145465,208018,727325,0,16,82133,7,6,10,0,1,4,2,No,0.768440929,63332,0.76909786,0.517473261,0.397987578
628,44,Married,Male,2,Technical Degree,3,42,Black Jack,2,69,1,7,2841,1326,3612,Yes,114387,217102,571935,7,25,29574,10,5,0,5,5,3,4,No,0.294863237,84813,0.295115312,0.692990269,0.20451204
629,42,Married,Male,1,Technical Degree,2,41,Black Jack,2,88,5,4,2227,2677,5711,Yes,139093,253915,695465,1,14,79075,8,23,13,4,5,4,1,No,0.00127843,60018,0.001279523,0.490395222,0.000627472
630,57,Married,Male,4,Technical Degree,5,9,Black Jack,2,47,9,3,1623,1632,4081,Yes,99758,279674,498790,7,6,45838,3,22,9,6,2,4,3,No,0.680387304,53920,0.680968959,0.440569668,0.300014268
631,31,Married,Male,4,Technical Degree,1,37,Black Jack,1,80,7,3,1015,1823,3402,Yes,101143,344698,505715,1,0,56672,2,12,12,5,5,2,1,No,0.369002101,44471,0.369317557,0.363363756,0.134196615
632,45,Married,Male,3,Technical Degree,2,3,Black Jack,2,53,1,4,2690,1676,6070,Yes,104544,231615,522720,7,17,50968,3,6,10,0,4,2,1,No,0.164352254,53576,0.164492757,0.437758912,0.07200817
633,41,Married,Male,1,Technical Degree,2,28,Black Jack,2,27,7,0,2268,2894,5131,Yes,135884,347423,679420,2,10,64748,8,17,0,5,7,4,4,No,0.182341812,71136,0.182497694,0.581238203,0.106074632
634,55,Married,Male,2,Technical Degree,5,20,Black Jack,2,50,4,1,1249,2430,4284,Yes,121956,287964,609780,0,6,45279,7,24,14,4,3,1,4,No,0.456367495,76677,0.456757638,0.62651262,0.286164424
635,64,Married,Male,4,Technical Degree,1,20,Black Jack,3,82,9,5,2316,2165,4772,Yes,84350,348946,253050,7,3,55969,7,3,6,9,8,4,2,No,0.892659653,28381,0.893422777,0.231895544,0.207180761
636,30,Married,Male,2,Technical Degree,4,31,Black Jack,1,59,4,4,2124,1179,3793,Yes,136012,301477,680060,3,15,27235,10,16,2,9,9,1,3,No,0.111403818,108777,0.111499055,0.888795379,0.099099845
637,49,Married,Male,1,Technical Degree,4,35,Black Jack,4,46,4,6,2388,2904,4646,Yes,106980,320075,534900,7,16,36421,4,25,15,0,1,2,1,No,0.89145427,70559,0.892216363,0.57652365,0.514383835
638,56,Married,Male,4,Technical Degree,2,29,Black Jack,1,85,5,9,1879,1378,4538,Yes,90288,295521,451440,0,1,52494,10,24,5,10,0,4,3,No,0.655182349,37794,0.655742457,0.308807308,0.202498063
639,32,Married,Male,2,Technical Degree,2,42,Black Jack,3,63,1,6,1062,2452,6217,Yes,138699,274021,693495,3,20,47654,4,23,9,4,8,2,2,No,0.749344783,91045,0.749985389,0.743910709,0.557922163
640,64,Married,Male,4,Technical Degree,5,25,Black Jack,4,92,4,0,2848,1633,4211,Yes,135576,228057,677880,2,22,47087,10,21,9,9,7,2,4,No,0.855649245,88489,0.856380729,0.723026138,0.619185652
641,34,Married,Male,1,Technical Degree,5,30,Black Jack,2,53,3,6,1375,1774,4978,Yes,112988,317893,564940,7,15,55840,7,17,9,2,5,4,3,No,0.289194646,57148,0.289441875,0.466945019,0.135153442
642,43,Married,Male,1,Technical Degree,4,48,Black Jack,1,41,7,6,2295,2694,6018,Yes,94864,212784,474320,0,2,82127,7,23,8,0,6,2,4,No,0.405356312,12737,0.405702847,0.104071511,0.042222108
643,59,Married,Male,3,Technical Degree,3,32,Black Jack,3,88,8,5,2183,1271,4624,Yes,85490,85490,85490,4,0,26885,10,1,12,6,9,3,1,No,0.884217896,58605,0.884973804,0.478849878,0.423769598
644,38,Married,Male,1,Technical Degree,3,38,Black Jack,2,40,10,2,2364,2432,4770,Yes,109822,229555,549110,5,21,74007,4,13,2,5,6,3,3,No,0.995029021,35815,0.995879659,0.29263729,0.291431525
645,55,Married,Male,2,Technical Degree,2,4,Black Jack,4,44,10,3,1728,1817,3855,Yes,106352,288249,531760,2,14,77648,5,7,7,7,1,3,3,No,0.252764362,28704,0.252980447,0.234534714,0.059332697
646,51,Married,Male,3,Technical Degree,1,21,Black Jack,4,85,2,2,2641,1001,4345,Yes,94435,207698,472175,2,0,74026,8,15,1,0,7,1,2,No,0.265902514,20409,0.266129831,0.166757907,0.044379254
647,23,Married,Male,1,Technical Degree,4,11,Black Jack,3,39,4,7,1565,1980,3662,Yes,121231,258710,606155,2,16,46577,10,6,13,4,4,1,1,No,0.888207024,74654,0.888966342,0.609983086,0.542254433
648,56,Married,Male,3,Technical Degree,2,46,Black Jack,3,64,7,1,2351,2198,4941,Yes,116194,336656,580970,4,14,72279,1,6,13,4,9,4,1,No,0.931337978,43915,0.932134168,0.35882079,0.334469118
649,27,Married,Male,4,Technical Degree,3,13,Black Jack,1,67,4,10,2105,1252,4089,Yes,104762,104762,104762,7,13,47259,4,1,3,7,2,3,3,No,0.481858528,57503,0.482270463,0.469845654,0.226592681
650,23,Married,Male,2,Technical Degree,1,23,Black Jack,1,83,9,3,1109,2336,4677,Yes,130086,348288,650430,6,25,33173,9,5,14,4,7,1,4,No,0.435925656,96913,0.436298323,0.791856978,0.345485872
651,56,Married,Male,4,Technical Degree,2,9,Black Jack,2,60,9,0,2233,1711,6069,Yes,108878,283116,435512,6,0,50001,8,4,10,6,2,2,4,No,0.56293862,58877,0.563419869,0.481072336,0.271045713
652,49,Married,Male,4,Technical Degree,5,15,Black Jack,3,97,9,8,2430,2087,5041,Yes,107643,219133,538215,5,8,53509,2,18,3,1,2,2,4,No,0.235505558,54134,0.235706889,0.44231822,0.104257452
653,63,Married,Male,3,Technical Degree,1,29,Black Jack,3,43,10,4,1878,1754,6084,Yes,136662,229173,683310,5,8,76992,7,24,14,3,9,4,2,No,0.267062159,59670,0.267290468,0.487551782,0.130317944
654,25,Married,Male,4,Technical Degree,1,43,Black Jack,3,48,8,10,1379,2597,3688,Yes,117192,345693,585960,4,7,50973,7,10,12,0,10,1,4,No,0.739490931,66219,0.740123113,0.541062368,0.400452764
655,45,Married,Male,4,Technical Degree,3,35,Black Jack,1,32,9,3,1738,1029,3563,Yes,81015,162030,162030,1,1,55032,1,2,3,8,8,3,2,No,0.55414425,25983,0.554617981,0.21230196,0.117746485
656,25,Married,Male,2,Technical Degree,2,44,Black Jack,1,77,4,3,1153,2154,4159,Yes,141407,282814,282814,3,18,59421,10,2,9,9,8,1,3,No,0.229717098,81986,0.22991348,0.66989141,0.154017066
657,25,Married,Male,1,Technical Degree,2,26,Black Jack,3,82,2,9,2310,1829,4270,Yes,119990,332339,479960,6,5,51176,6,4,7,7,6,2,2,No,0.44177619,68814,0.442153859,0.5622656,0.248607905
658,39,Married,Male,4,Technical Degree,1,46,Black Jack,4,26,5,5,2941,2186,5996,Yes,84536,84536,84536,4,18,40282,6,1,15,8,2,1,2,No,0.72536061,44254,0.725980712,0.361590692,0.262507868
659,52,Married,Male,2,Technical Degree,4,34,Black Jack,2,42,9,1,2565,1582,4149,Yes,99976,347827,399904,3,16,30170,5,4,4,4,5,2,1,No,0.000588897,69806,0.0005894,0.570371036,3.36E-04
660,25,Married,Male,1,Technical Degree,2,34,Black Jack,1,75,9,7,2426,2013,4583,Yes,128096,201777,640480,7,6,55569,5,23,3,1,6,1,3,No,0.940561567,72527,0.941365642,0.59260379,0.557856847
661,29,Married,Male,4,Technical Degree,5,14,Black Jack,3,31,8,3,1169,1036,4395,Yes,129862,309226,649310,4,14,63114,3,7,9,5,6,4,3,No,0.734238651,66748,0.734866343,0.545384722,0.400784877
662,36,Married,Male,4,Technical Degree,4,23,Black Jack,3,76,5,10,2238,1430,4085,Yes,149857,227976,749285,7,19,62692,7,26,15,10,0,1,3,No,0.334769,87165,0.33505519,0.712207996,0.238628986
663,58,Married,Male,4,Technical Degree,2,17,Black Jack,1,78,5,0,1413,2300,6048,Yes,97902,207819,489510,4,17,41931,6,7,2,3,10,3,3,No,0.437225987,55971,0.437599767,0.457327984,0.200126619
664,43,Married,Male,3,Technical Degree,5,33,Black Jack,4,59,7,2,1896,2832,4477,Yes,118676,337642,593380,2,10,27686,5,5,8,0,3,4,2,No,0.355228792,90990,0.355532472,0.743461315,0.26432464
665,35,Married,Male,1,Technical Degree,4,17,Black Jack,3,67,9,7,2068,2771,4993,Yes,134174,305062,670870,0,14,69991,3,13,10,8,8,4,4,No,0.588845,64183,0.589348396,0.524426614,0.309069984
666,47,Married,Male,2,Technical Degree,1,37,Black Jack,1,69,4,6,2077,2416,4346,Yes,108603,322273,543015,2,10,81577,1,16,10,3,1,1,1,No,0.285848497,27026,0.286092865,0.220824107,0.063176202
667,29,Married,Male,3,Technical Degree,2,24,Black Jack,1,92,9,9,2996,2497,5853,Yes,96088,243040,480440,6,2,35530,8,15,8,2,10,2,4,No,0.315059976,60558,0.315329317,0.494807455,0.156027297
668,55,Married,Male,1,Technical Degree,4,38,Black Jack,2,28,2,6,2559,2451,3444,Yes,147033,258482,735165,3,4,38252,3,16,0,7,5,1,2,No,0.927267825,108781,0.928060535,0.888828062,0.824886247
669,44,Married,Male,4,Technical Degree,1,35,Black Jack,1,97,5,3,2997,1666,3310,Yes,130513,336851,652565,6,8,73739,10,18,11,9,10,4,2,No,0.57901192,56774,0.579506911,0.463889139,0.268826962
670,39,Married,Male,4,Technical Degree,3,17,Black Jack,2,26,2,4,1639,1198,5846,Yes,108480,334622,542400,0,2,56730,4,15,4,4,9,2,2,No,0.937897887,51750,0.938699685,0.422839027,0.396918862
671,26,Married,Male,1,Technical Degree,3,12,Black Jack,3,94,2,3,2252,2298,4301,Yes,85680,202578,428400,7,6,29263,9,15,10,3,1,3,1,No,0.607989506,56417,0.608509269,0.460972162,0.280505834
672,27,Married,Male,3,Technical Degree,2,17,Black Jack,4,46,6,8,1639,2676,6004,Yes,99602,348506,498010,2,15,56486,7,15,10,2,7,4,3,No,0.601054653,43116,0.601568487,0.352292319,0.211927957
673,54,Married,Male,3,Technical Degree,3,2,Black Jack,1,77,5,3,2287,2193,6110,Yes,97121,271873,291363,5,9,82727,1,3,4,6,2,1,4,No,0.681700154,14394,0.682282932,0.117610531,0.080243658
674,37,Married,Male,3,Technical Degree,1,46,Black Jack,4,35,6,2,2211,1685,4072,Yes,142244,215950,711220,1,14,48905,6,13,13,2,0,4,4,No,0.557963901,93339,0.558440898,0.76265453,0.42589748
675,65,Married,Male,2,Technical Degree,5,25,Black Jack,4,99,2,2,1373,2176,3466,Yes,108908,215098,544540,5,14,58352,8,23,10,3,7,3,1,No,0.88388062,50556,0.884636239,0.413083089,0.36542827
676,34,Married,Male,3,Technical Degree,4,2,Black Jack,3,87,1,8,2537,1602,4048,Yes,134583,314045,672915,0,18,64243,4,6,9,0,0,4,1,No,0.316855868,70340,0.317126745,0.574734245,0.1822636
677,63,Married,Male,2,Technical Degree,1,37,Black Jack,1,85,1,9,1680,2655,6111,Yes,89552,303570,447760,6,6,41434,7,24,13,9,2,3,2,No,0.333539057,48118,0.333824196,0.393162673,0.131247213
678,36,Married,Male,4,Technical Degree,3,34,Black Jack,3,87,4,3,1342,2855,4420,Yes,122976,203160,614880,1,15,50696,7,7,1,6,8,4,2,No,0.038609322,72280,0.038642329,0.590585601,0.022821603
679,56,Married,Male,3,Technical Degree,5,46,Black Jack,2,35,10,8,1244,2726,5904,Yes,93887,233034,469435,0,1,76961,4,20,6,2,7,1,1,No,0.838135559,16926,0.838852071,0.138299002,0.116012405
680,44,Married,Male,1,Technical Degree,4,47,Black Jack,3,74,5,4,1444,1094,3144,Yes,95641,214081,478205,4,7,35705,10,22,15,2,3,4,4,No,0.303082511,59936,0.303341612,0.489725216,0.148554037
681,23,Married,Male,4,Technical Degree,2,6,Black Jack,4,94,3,10,1077,1139,3288,Yes,144561,241615,722805,7,6,49707,6,16,15,7,8,3,2,No,0.375379353,94854,0.37570026,0.775033296,0.291180211
682,51,Married,Male,1,Technical Degree,3,50,Black Jack,1,72,3,2,1131,1760,3896,Yes,147618,218249,738090,1,0,34929,10,7,1,1,9,1,2,No,0.057611496,112689,0.057660747,0.920759558,0.053091684
683,52,Married,Male,2,Technical Degree,3,17,Black Jack,3,40,2,9,1772,1184,3943,Yes,138318,332818,691590,0,24,83548,8,15,4,7,4,3,1,No,0.672117177,54770,0.672691762,0.44751485,0.301039553
684,36,Married,Male,2,Technical Degree,3,19,Black Jack,4,69,3,1,1492,2579,3472,Yes,112028,112028,112028,5,25,63874,2,1,2,3,5,2,1,No,0.720592792,48154,0.721208818,0.393456821,0.283764529
685,59,Married,Male,1,Technical Degree,4,19,Black Jack,1,37,8,0,2575,2541,5216,Yes,141812,244179,709060,2,21,82979,4,22,4,10,9,4,2,No,0.425400347,58833,0.425764017,0.480712821,0.204670222
686,24,Married,Male,4,Technical Degree,4,21,Black Jack,4,77,1,5,1941,1285,3562,Yes,133973,257074,669865,1,2,36520,2,18,14,7,7,3,1,No,0.318946464,97453,0.319219128,0.796269212,0.254184363
687,59,Married,Male,3,Technical Degree,4,45,Black Jack,1,47,9,1,2198,1887,5708,Yes,146637,325688,733185,5,13,52350,3,17,3,2,4,4,4,No,0.066165554,94287,0.066222118,0.770400451,0.05101755
688,64,Married,Male,2,Technical Degree,2,23,Black Jack,1,35,1,8,1809,2296,5857,Yes,135407,301860,677035,4,11,60475,10,10,1,8,7,3,3,No,0.985888986,74932,0.986731811,0.61225457,0.60413106
689,56,Married,Male,1,Technical Degree,2,39,Black Jack,1,50,5,4,1712,1155,4207,Yes,94589,319511,472945,2,14,44299,4,8,15,7,5,2,3,No,0.333947026,50290,0.334232513,0.410909655,0.137339367
690,38,Married,Male,3,Technical Degree,3,46,Black Jack,1,78,8,2,1360,1849,4707,Yes,114192,213083,570960,0,1,72975,4,7,10,1,8,3,2,No,0.280409017,41217,0.280648736,0.336775965,0.094515749
691,46,Married,Male,4,Technical Degree,1,21,Black Jack,1,58,6,3,2509,2475,4003,Yes,125638,267110,628190,2,3,67109,7,23,8,7,1,2,2,No,0.743947616,58529,0.744583608,0.478228897,0.356081397
692,64,Married,Male,3,Technical Degree,5,4,Black Jack,2,40,10,10,1326,1789,3284,Yes,108580,301482,542900,6,11,68924,4,14,14,10,1,4,4,No,0.22052935,39656,0.220717877,0.324021342,0.071517303
693,50,Married,Male,4,Technical Degree,1,33,Black Jack,2,44,5,7,1108,2709,4570,Yes,112878,201200,451512,3,7,53577,1,4,7,10,9,2,3,No,0.368807539,59301,0.369122828,0.484536756,0.178853578
694,33,Married,Male,1,Technical Degree,2,18,Black Jack,3,57,8,5,2949,2005,3449,Yes,101234,282178,506170,6,3,52310,2,14,9,1,9,3,4,No,0.157252008,48924,0.157386441,0.399748339,0.062914968
695,45,Married,Male,1,Technical Degree,4,9,Black Jack,4,90,6,10,2909,2674,4541,Yes,119596,346422,597980,5,2,34231,8,19,12,3,3,3,2,No,0.633000022,85365,0.633541166,0.697500552,0.441895313
696,31,Married,Male,4,Technical Degree,2,25,Black Jack,3,49,6,2,2771,2068,4732,Yes,142661,284724,713305,1,4,37357,4,9,10,0,10,1,1,No,0.202726479,105304,0.202899788,0.860418182,0.174578666
697,28,Married,Male,2,Technical Degree,1,47,Black Jack,3,42,6,1,2510,1948,6028,Yes,125601,125601,125601,4,26,41904,7,1,1,0,1,3,4,No,0.401809823,83697,0.402153326,0.683871653,0.27502126
698,47,Married,Male,4,Technical Degree,2,3,Black Jack,1,50,10,6,2904,2051,3166,Yes,115534,274649,462136,4,17,77489,8,4,7,5,1,1,4,No,0.293749794,38045,0.294000917,0.310858179,0.09139259
699,44,Married,Male,2,Technical Degree,5,42,Black Jack,3,31,8,4,1155,2696,4711,Yes,140707,253814,703535,0,11,71485,9,18,2,8,5,1,3,No,0.996122695,69222,0.996974268,0.565599288,0.563887936
700,40,Married,Male,3,Technical Degree,3,19,Black Jack,3,85,6,3,2114,1849,4322,Yes,125244,331663,626220,4,3,57558,1,24,4,8,0,2,3,No,0.570479016,67686,0.570966712,0.553048935,0.315772532
701,44,Married,Male,2,Technical Degree,5,13,Black Jack,1,27,9,4,2721,1387,4890,Yes,122314,312346,611570,0,9,58249,4,15,6,2,9,1,1,No,0.033592548,64065,0.033621266,0.523462459,0.017599471
702,48,Married,Male,4,Technical Degree,5,18,Black Jack,4,89,10,9,2999,2983,4327,Yes,148653,204637,743265,2,25,71247,4,23,13,8,6,4,1,No,0.714387606,77406,0.714998327,0.632469135,0.452214374
703,27,Married,Male,4,Technical Degree,3,25,Black Jack,3,28,9,9,1600,1301,3749,Yes,128397,342794,641985,3,17,39158,5,8,9,10,8,1,4,No,0.019818239,89239,0.019835181,0.72915424,1.45E-02
704,35,Married,Male,3,Technical Degree,3,31,Black Jack,2,84,2,8,2883,1385,5790,Yes,98833,315386,494165,1,9,26559,5,6,7,6,2,3,1,No,0.352001966,72274,0.352302888,0.590536577,0.208047742
705,61,Married,Male,2,Technical Degree,4,36,Black Jack,2,39,9,10,2453,2536,4049,Yes,88821,265899,444105,1,25,52736,3,7,6,10,3,1,2,No,0.705994534,36085,0.70659808,0.294843407,0.208335785
706,57,Married,Male,4,Technical Degree,1,16,Black Jack,1,51,3,7,1823,2985,4560,Yes,127451,239012,637255,5,20,32840,7,17,5,3,3,1,1,No,0.86017171,94611,0.860907061,0.773047791,0.665522302
707,41,Married,Male,1,Technical Degree,1,20,Black Jack,3,51,8,2,2132,1925,6182,Yes,130295,266958,651475,2,1,47737,6,24,11,8,10,1,2,No,0.970766753,82558,0.97159665,0.674565109,0.6554052
708,25,Married,Male,3,Technical Degree,5,31,Black Jack,3,40,3,8,2046,2715,4011,Yes,144881,245598,724405,5,4,64697,2,25,2,2,6,1,3,No,0.340632595,80184,0.340923798,0.655167624,0.223362235
709,39,Married,Male,4,Technical Degree,4,45,Black Jack,1,54,6,4,1582,2457,5790,Yes,146680,291543,733400,4,18,62374,1,9,8,3,0,4,2,No,0.380281012,84306,0.38060611,0.688847672,0.262179633
710,42,Married,Male,2,Technical Degree,1,43,Black Jack,3,75,5,5,2933,2622,3436,Yes,108980,340490,544900,4,12,65546,6,5,12,6,7,4,1,No,0.353967166,43434,0.354269768,0.354890634,0.125727023
711,45,Married,Male,1,Technical Degree,5,42,Black Jack,4,36,1,9,2017,1179,4836,Yes,82151,322874,410755,7,3,71489,3,9,15,8,0,2,4,No,0.442540981,10662,0.442919304,0.087117096,0.038585843
712,38,Married,Male,2,Technical Degree,1,43,Black Jack,3,50,4,8,1094,2134,4002,Yes,124657,302983,623285,0,11,81700,9,18,8,6,2,4,4,No,0.747876629,42957,0.74851598,0.350993161,0.26272399
713,50,Married,Male,4,Technical Degree,1,21,Black Jack,2,56,3,7,2708,2977,5705,Yes,96011,238845,480055,4,20,51762,2,9,1,6,8,1,3,No,0.447717635,44249,0.448100384,0.361549838,0.162010621
714,64,Married,Male,4,Technical Degree,4,28,Black Jack,2,52,7,10,1013,2594,5396,Yes,116510,227084,582550,1,12,53904,10,20,8,2,8,3,4,No,0.916245661,62606,0.917028948,0.511541258,0.469098142
715,33,Married,Male,4,Technical Degree,1,13,Black Jack,3,57,5,3,2359,1823,5913,Yes,94462,94462,94462,6,12,43007,9,1,6,7,7,1,4,No,0.565306923,51455,0.565790197,0.42042864,0.237874403
716,48,Married,Male,3,Technical Degree,4,49,Black Jack,2,95,8,4,2836,1936,4175,Yes,117993,250897,589965,5,24,38917,8,20,8,9,2,4,2,No,0.156490554,79076,0.156624336,0.646114375,0.101197235
717,45,Married,Male,3,Technical Degree,1,29,Black Jack,4,93,2,1,1875,2957,4010,Yes,96827,216476,484135,1,20,50056,5,10,15,9,0,2,3,No,0.705840048,46771,0.706443462,0.382156602,0.269972033
718,63,Married,Male,4,Technical Degree,2,49,Black Jack,2,57,4,6,1310,2597,5759,Yes,94518,313736,472590,6,11,54664,6,26,1,7,4,4,3,No,0.295981982,39854,0.296235014,0.325639161,0.096465721
719,25,Married,Male,1,Technical Degree,3,13,Black Jack,4,37,2,8,1938,2780,5224,Yes,89575,214825,447875,0,4,76800,9,15,9,6,2,4,2,No,0.050272653,12775,0.050315631,0.104382001,0.005252046
720,35,Married,Male,1,Technical Degree,5,32,Black Jack,4,81,8,7,1955,2082,5082,Yes,133130,209417,665650,6,9,80073,5,10,5,8,2,2,1,No,0.884859817,53057,0.885616273,0.433518266,0.383930831
721,47,Married,Male,1,Technical Degree,3,23,Black Jack,4,74,10,4,2262,1995,5296,Yes,102780,226492,513900,7,21,41631,9,5,5,1,9,3,3,No,0.981162473,61149,0.982001257,0.499636399,0.490643572
722,53,Married,Male,2,Technical Degree,4,35,Black Jack,2,76,10,5,1763,1322,4539,Yes,98899,206367,494495,3,4,42069,10,18,8,2,10,3,1,No,0.57030477,56830,0.570792317,0.464346703,0.265045531
723,48,Married,Male,4,Technical Degree,3,44,Black Jack,3,59,1,8,2354,1456,3137,Yes,128666,283719,643330,5,3,57108,6,25,11,10,4,3,4,No,0.437878606,71558,0.438252943,0.584686282,0.256240484
724,34,Married,Male,4,Technical Degree,5,22,Black Jack,4,46,8,5,1689,1968,4040,Yes,100301,345683,501505,5,20,75676,10,17,4,4,9,1,1,No,0.58408201,24625,0.584581335,0.20120601,0.117621278
725,23,Married,Male,1,Technical Degree,2,43,Black Jack,4,30,8,9,1656,1072,4913,Yes,135415,305762,677075,1,22,71654,3,15,11,7,4,3,4,No,0.519081771,63761,0.519525528,0.520978535,0.270661649
726,49,Married,Male,1,Technical Degree,1,50,Black Jack,3,98,2,9,2494,1947,3659,Yes,104434,204274,522170,0,3,62885,7,13,10,6,8,1,4,No,0.762231371,41549,0.762882994,0.339488671,0.258990134
727,35,Married,Male,2,Technical Degree,4,39,Black Jack,2,68,10,9,1837,1483,3346,Yes,122787,210552,613935,6,7,35414,8,22,7,0,1,3,4,No,0.912287087,87373,0.913066991,0.713907523,0.651845393
728,24,Married,Male,1,Technical Degree,2,38,Black Jack,2,82,3,0,1015,1338,5939,Yes,128306,346017,641530,2,17,54078,10,18,11,9,7,2,2,No,0.023709151,74228,0.02372942,0.606502325,0.014391948
729,30,Married,Male,3,Technical Degree,5,43,Black Jack,1,49,8,0,2256,1593,5659,Yes,109470,330955,547350,3,20,53282,9,18,7,5,1,3,1,No,0.626760674,56188,0.627296484,0.459101048,0.287992473
730,45,Married,Male,3,Technical Degree,3,26,Black Jack,3,49,2,4,2722,2696,4653,Yes,125226,340468,626130,3,16,27031,7,11,3,3,2,1,3,No,0.234452508,98195,0.234652938,0.802331947,0.188269549
731,53,Married,Male,1,Technical Degree,4,42,Black Jack,2,72,8,8,1671,2471,5644,Yes,126524,205331,632620,4,16,52362,3,9,3,4,9,3,1,No,0.466112678,74162,0.466511153,0.605963052,0.282688522
732,28,Married,Male,4,Technical Degree,5,1,Black Jack,4,79,3,1,2241,2911,3436,Yes,113651,227302,227302,6,9,75864,6,2,14,6,8,3,2,No,0.30616435,37787,0.306426086,0.308750112,0.094609089
733,38,Married,Male,4,Technical Degree,1,50,Black Jack,3,75,4,7,2576,2625,5170,Yes,96202,327297,481010,4,25,71099,5,15,10,4,10,2,4,No,0.862156957,25103,0.862894005,0.205111654,0.176989617
734,38,Married,Male,4,Technical Degree,1,50,Black Jack,1,82,5,0,1541,2388,3544,Yes,100706,213801,503530,2,20,64096,2,10,6,10,5,1,3,No,0.353128514,36610,0.353430399,0.299133078,0.105722723
